영상편집에 필요한 정보,,,,,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,1.19,1.20,1.21,1.22,1.23,1.24,1.25,1.26,1.27,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DateTime,Accident number,Member year,Year of accident,Month of accident,Weekday,Time,GPS latitude,GPS longitude,Country,Accident description,Collision type,Accident type,Participant A referring accident type,Participant B referring accident type,Main contributing factor,Road type,Road surface,Road condition,Lane separation,Light condition,Weather 1,Weather 2,Location,Emergency arrival,Accident Severity,PCM data available,Case status,Vsim,comment,,영상유무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,CASENR,CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,ACCTYPE,ACCTYPEA,ACCTYPEB,MAINFACT,ROADTYPE,ROADSURF,ROADCOND,LANESEPAR,LIGHTCON,WEATHER1,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,CASENR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이벤트시작(초),이벤트끝(초),파일명(mp4),기준날짜시간,상위폴더,폴더명(datetime),CASENR,MEMYEAR,YEAR,MONTH,WDAY,TIME,GPSLAT,GPSLONG,COUNTRY,ACCDESC,COLLTYPE,사고유형,차량A,차량B,MAINFACT,도로규모,표면재질,표면습도,도로분리,빛조건,날씨,WEATHER2,LOCATION,EMARRIV,ACCSEV,PCMAVAIL,STATUS,,,도로명주소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,60,2024-02-08_14-54-12-front,2024-02-08_14-54-12,example,example,22CD0020,2022,2022,1,6,1729,37.1957,127.201,KR,왕복 3차로 도로에서 덤프트럭이 역방향으로 후진하고 있는 상황,99999,,,,99999,,,,,,,77777,,7777,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,42,2024-01-08_16-15-22-front,2024-01-08_16-16-33,2024-01-07_정리필요,2024-01-08_16-16-33,작업완료후일괄입력,2024,2024,1,1,1616,37.492,127.021,KR,"골목길을 주행 중, 건물 안으로 차량이 진입하려는 상황에서, 천천히 건물 앞 진입로를 지나가는 노인 보행자가 있는 상황.",99999,222,1,2,99999,3,1,1,1,1,1,77777,,7777,1,2,4,,,"(주)보나비 아티제 서초점, 76-21,, 서초대로64길, 서초동, 서초1동, 서초구, 서울, 06635, 대한민국",1,,,,,,MAINFACT - 99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,2023-01-10_19-10-23-front,2023-01-10_19-13-40,99_20230116_정리필요,2023-01-10_19-13-40,작업완료 후 일괄,2023,2023,1 ,2,1913,37.5008,127.026,KR,택시가 신호를 무시하고 횡단보도를 그대로 건너 보행자와 주변 차량의 안전이 위협받는 상황,99999,301,,,99999,3,1,1,1,4,1,77777,,7777,1,2,4,,,"유창빌딩, 429, 강남대로, 서초4동, 서초구, 서울, 06612, 대한민국",1,,,,,,WEATHER2 - 77777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,33,2023-01-13_12-21-20-front,2023-01-13_12-27-49,99_20230116_정리필요,2023-01-13_12-27-49,,2023,2023,1 ,5,1227,37.2405,126.886,KR,4차로에서 달리던 트럭이 방향지시등 없이 차선을 변경해 다른 차량과 충돌 위험이 있어 주의가 필요한 상황,99999,631,2,1,99999,1,1,2,12,1,6,77777,,7777,1,2,4,,,"서해로, 구포리, 화성시, 경기도, 18284, 대한민국",1,,,,,,EMARRIV - 7777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19,2023-01-13_12-30-53-front,2023-01-13_12-33-17,99_20230116_정리필요,2023-01-13_12-33-17,,2023,2023,1 ,5,1233,37.182,126.883,KR,합류 구간에서 우측 트럭의 방향 지시등 없는 차선 변경으로 충돌 위험이 있는 상황,99999,633,,,99999,1,1,2,11,1,5,77777,,7777,1,2,4,,,"콤프코리아, 1372, 서해로, 창곡리, 화성시, 경기도, 18525, 대한민국",1,,,,,,ACCSEV - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,2023-01-13_12-33-17-front,2023-01-13_12-33-29,99_20230116_정리필요,2023-01-13_12-33-29,,2023,2023,1 ,5,1233,37.1775,126.885,KR,우측 장애물에 가려진 차량이 갑자기 나와 주의가 필요한 상황,99999,305,2,1,99999,2,1,2,11,1,5,77777,,7777,1,2,4,,,"서해로, 하저리, 화성시, 경기도, 18525, 대한민국",1,,,,,,PCMAVAIL - 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,2023-01-13_12-41-35-front,2023-01-13_12-41-58,99_20230116_정리필요,2023-01-13_12-41-58,,2023,2023,1 ,5,1241,37.1656,126.847,KR,회전 교차로에서 도로와 가깝게 걷는 보행자로 주의하며 지나가야 하는 상황,99999,489,1,2,99999,2,1,2,1,1,5,77777,,7777,1,2,4,,,"현대기아로, 온석리, 화성시, 경기도, 18574, 대한민국",1,,,,,,STATUS - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,33,2023-01-13_15-05-31-front,2023-01-13_15-07-31,99_20230116_정리필요,2023-01-13_15-07-31,,2023,2023,1 ,5,1507,37.1651,126.836,KR,회전교차로에서 우측 차량이 진입할 가능성이 있어 주의해야 하는 상황,99999,322,1,2,99999,2,1,1,1,1,5,77777,,7777,1,2,4,,,"신현대로, 장덕리, 화성시, 경기도, 18269, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,31,2023-01-13_15-11-34-front,2023-01-13_15-14-08,99_20230116_정리필요,2023-01-13_15-14-08,,2023,2023,1 ,5,1514,37.175,126.814,KR,정체중인 좌측 차선으로 합류하므로 충돌 위험이 있어 주의가 필요한 상황,99999,633,1,2,99999,2,1,1,32,1,5,77777,,7777,1,2,4,,,"남양로, 안석리, 화성시, 경기도, 18269, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25,2023-01-13_15-26-17-front,2023-01-13_15-29-02,99_20230116_정리필요,2023-01-13_15-29-02,,2023,2023,1 ,5,1529,37.1779,126.995,KR,2차로와 4차로에서 동시에 3차로로 차선을 변경하여 주행에 주의가 필요한 상황,99999,555,,,99999,2,1,2,11,1,5,77777,,7777,1,2,4,,,"수도권제2순환고속도로, 괘랑리, 화성시, 경기도, 18518, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,37,2023-01-18_09-23-09-front,2023-01-18_09-24-08,20230216_정리필요_임시삭제,2023-01-18_09-24-08,,2023,2023,1 ,3,0924,37.2831,126.95,KR,전방에서 쓰레기가 날아다녀 시야가 방해될 수 있으므로 주의해야 하는 상황,99999,731,1,2,99999,2,1,1,12,2,1,77777,,7777,1,2,4,,,"평택파주고속도로, 금곡동, 권선구, 수원시, 경기도, 16392, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,2023-01-18_09-37-15-front,2023-01-18_09-38-57,20230216_정리필요_임시삭제,2023-01-18_09-38-57,,2023,2023,1 ,3,0938,37.2167,126.968,KR,전방 차량이 우회전을 위해 감속하므로 충돌 위험이 있는 상황,99999,231,1,2,99999,3,1,1,1,1,1,77777,,7777,1,2,4,,,"동화역말길, 동화리, 화성시, 경기도, 18298, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,2023-01-18_09-40-59-front,2023-01-18_09-41-44,20230216_정리필요_임시삭제,2023-01-18_09-41-44,,2023,2023,1 ,3,0941,37.2189,126.973,KR,전방차량이 차선을 제대로 지키지 않아 인접 차로와 혼선이 생기는 상황,99999,641,2,1,99999,3,1,1,32,1,1,77777,,7777,1,2,4,,,"동화역말길, 기안동, 와우리, 화성시, 경기도, 18321, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,46,2023-01-18_09-42-44-front,2023-01-18_09-44-08,20230216_정리필요_임시삭제,2023-01-18_09-44-08,,2023,2023,1 ,3,0944,37.2202,126.976,KR,우측 차량이 좌회전을 차선에 맞추지 않고 주행하여 주의가 필요한 상황,99999,321,1,2,99999,3,1,1,1,1,1,77777,,7777,1,2,4,,,"동화역말길, 기안동, 와우리, 화성시, 경기도, 18321, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,36,2023-01-18_12-47-02-front,2023-01-18_12-47-53,20230216_정리필요_임시삭제,2023-01-18_12-47-53,,2023,2023,1 ,3,1247,37.2066,126.987,KR,차량 주차 중 좌측에서 나타난 차량으로 충돌을 주의해야 상황,99999,703,1,2,99999,5,1,1,1,1,1,77777,,7777,1,2,4,,,"세자로, 수기리, 화성시, 경기도, 18324, 대한민국",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
